IUCR,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,Year
0840,0,1,1,2113,002,,,2002
0910,0,1,1,0312,003,,,2002
1220,0,1,1,1833,018,,,2002
0560,0,1,1,0224,002,,,2002
0810,0,1,1,0622,006,,,2002
1320,0,1,1,2132,002,,,2002
0910,0,1,1,0622,006,,,2002
1200,0,0,1,1212,012,,,2002
0910,0,1,1,0735,007,17,67,2001
0630,0,1,1,1611,016,,,2002
0820,0,1,1,1624,016,,,2002
2027,0,0,1,1413,014,,,2002
0810,0,1,1,0532,005,,,2002
1330,0,0,1,1012,010,,,2002
2820,0,1,1,0233,002,,,2002
0320,0,1,1,2432,024,,,2002
0560,0,1,1,2511,025,,,2002
0560,0,1,1,2535,025,,,2002
2092,0,0,1,1112,011,,,2002
141,0,0,1,0132,001,,,2002
0910,0,0,1,1313,012,,,2002
2014,0,0,1,1135,011,,,2002
2024,0,0,1,1134,011,,,2002
0810,0,1,1,1111,011,,,2002
2027,0,0,1,0312,003,,,2002
5002,0,0,1,1023,010,,,2002
0810,0,1,1,0111,001,,,2002
0610,0,1,1,0913,009,,,2002
1506,0,0,1,1433,014,,,2002
0460,0,1,0,0512,005,,,2002
1811,0,0,1,1423,014,,,2002
0460,0,0,0,2122,002,,,2002
0610,0,1,1,1023,010,,,2002
3710,0,0,1,1822,018,,,2002
2028,0,0,1,1822,018,,,2002
1320,0,1,1,2513,025,,,2002
0910,0,1,1,2111,002,,,2002
1330,0,0,1,1722,017,,,2002
0420,0,1,1,1033,010,,,2002
0910,0,1,1,2322,019,46,3,2002
031,0,1,1,1232,012,,,2002
051,0,1,1,0223,002,,,2002
0820,0,1,1,0133,001,,,2002
0810,0,1,1,0111,001,,,2002
0560,0,1,1,1522,015,,,2002
0460,0,1,1,0935,009,,,2002
0810,0,1,1,1834,018,,,2002
0820,0,1,1,2132,002,,,2002
0320,0,1,1,2311,019,,,2002
2825,0,1,1,0413,004,,,2002
1811,0,0,1,0915,009,,,2002
1563,0,0,1,0322,003,,,2002
0610,0,1,1,1632,016,,,2002
1506,0,0,1,1113,011,,,2002
0460,0,1,1,1613,016,,,2002
0820,0,1,1,0634,006,,,2002
0460,0,1,1,1424,014,,,2002
0460,0,0,1,1433,014,,,2002
2092,0,0,1,1423,014,,,2002
0810,0,1,1,1312,012,,,2002
5002,0,0,1,0313,003,,,2002
1320,0,1,1,1832,018,,,2002
0560,0,1,1,1522,015,,,2002
5002,0,0,1,1523,015,,,2002
0460,0,1,1,1423,014,,,2002
0460,0,1,1,0913,009,,,2002
0460,0,1,0,1022,010,,,2002
5001,0,0,1,1033,010,,,2002
1320,0,1,1,0624,006,,,2002
0820,0,1,1,1212,012,,,2002
0910,0,1,1,2512,025,36,19,2002
0820,0,1,1,1712,017,,,2002
0520,0,1,0,0212,002,,,2002
1220,0,0,1,1212,012,,,2002
1310,0,1,1,2422,024,,,2002
0530,0,1,1,0424,004,,,2002
1811,0,0,1,1311,012,,,2002
031,0,1,1,0821,008,,,2002
4387,0,1,1,1913,019,,,2002
0910,0,1,1,2424,024,49,1,2002
2024,0,0,1,0221,002,,,2002
0460,0,0,1,1511,015,,,2002
5002,0,1,1,2423,024,,,2002
0820,0,1,1,1823,018,,,2002
1506,0,0,1,1433,014,,,2002
1506,0,0,1,1433,014,,,2002
2024,0,0,1,1134,011,,,2002
0420,0,0,0,2132,002,,,2002
0340,0,1,1,0731,007,,,2002
0810,0,1,1,1834,018,,,2002
0460,0,0,1,1531,015,,,2002
0460,0,0,1,2024,020,,,2002
0820,0,1,1,0132,001,,,2002
0820,0,1,1,0411,004,,,2002
0910,0,1,1,1134,011,,,2002
0560,0,1,0,1511,015,,,2002
0810,0,1,1,0833,008,,,2002
0320,0,1,1,1223,012,,,2002
1110,0,1,1,2331,019,,,2002
0930,0,1,1,0811,008,,,2002
0430,0,0,1,0423,004,,,2002
0620,0,1,1,2512,025,,,2002
1525,0,0,1,0532,005,,,2002
0460,0,1,1,0414,004,,,2002
1320,0,1,1,1034,010,,,2002
0530,0,0,0,2531,025,,,2002
1811,0,0,1,0614,006,,,2002
1310,0,1,1,0913,009,,,2002
0810,0,1,1,1824,018,,,2002
0910,0,1,1,0533,005,,,2002
0820,0,1,1,0233,002,,,2002
2110,0,0,1,0132,001,,,2002
0520,0,1,1,0413,004,,,2002
0320,0,1,1,1323,012,,,2002
0820,0,1,1,1222,012,,,2002
0810,0,1,1,0133,001,,,2002
0320,0,1,1,2432,024,,,2002
0910,0,1,1,1724,017,33,16,2002
0910,0,1,1,1424,014,32,24,2002
0560,0,1,1,1623,016,,,2002
2092,0,0,1,1423,014,,,2002
0460,0,1,0,0234,002,,,2002
0610,0,1,1,1824,018,,,2002
0810,0,1,1,1033,010,,,2002
0910,0,1,1,1723,017,33,16,2002
051,0,1,1,0533,005,,,2002
0910,0,1,1,1633,016,38,17,2002
0910,0,1,1,0312,003,,,2002
0910,0,1,1,1422,014,,,2002
0460,0,1,1,0511,005,,,2002
2825,0,1,0,2413,024,,,2001
1513,0,0,1,0322,003,,,2002
0910,0,1,1,2525,025,31,20,2002
1661,0,0,1,2533,025,,,2002
1811,0,0,1,1532,015,,,2002
0820,0,1,1,0913,009,,,2002
0620,0,1,1,0832,008,,,2002
0820,0,1,1,1121,011,27,23,2002
0420,0,1,0,1522,015,,,2002
1811,0,0,1,2532,025,,,2002
0910,0,1,1,1922,019,,,2002
0810,0,1,1,2122,002,,,2002
0910,0,1,1,0533,005,9,54,2002
0430,0,1,1,0621,006,,,2002
0810,0,1,1,1811,018,,,2002
2027,0,0,1,1121,011,,,2002
0460,0,1,1,1811,018,,,2002
2027,0,0,1,2233,022,,,2002
2027,0,0,1,2232,022,,,2002
2024,0,0,1,1523,015,,,2002
2825,0,1,1,0124,001,,,2002
0460,0,1,0,1722,017,,,2002
0810,0,1,1,1323,012,,,2002
041,0,1,1,1132,011,,,2002
0820,0,1,1,0111,001,,,2002
041,0,1,1,1323,012,,,2002
2825,0,1,1,2413,024,,,2001
0610,0,1,1,1031,010,,,2002
0430,0,1,1,1024,010,,,2002
1320,0,1,1,1614,016,,,2002
0820,0,1,1,0331,003,,,2002
1751,0,1,1,1423,014,,,2002
0460,0,1,0,0332,003,,,2002
2027,0,0,1,1231,012,,,2002
2027,0,0,1,1113,011,,,2002
1811,0,0,1,0713,007,,,2002
2027,0,0,1,0522,005,,,2002
0910,0,0,1,1111,011,37,25,2002
0460,0,1,1,0623,006,,,2002
2826,0,1,0,1323,012,,,2002
2027,0,0,1,1532,015,,,2002
1320,0,0,1,1121,011,,,2002
0840,0,1,1,0312,003,,,2002
1811,0,0,1,2313,019,,,2002
1310,0,1,1,1813,018,,,2002
2820,0,1,0,0132,001,,,2002
0820,0,1,1,1731,017,,,2002
051,0,1,1,2111,002,,,2002
0312,0,1,1,1513,015,,,2002
2027,0,0,1,0312,003,,,2002
1220,0,0,1,1524,015,,,2002
1330,0,0,1,0822,008,,,2002
2022,0,0,1,0935,009,,,2002
0470,0,0,1,2024,020,,,2002
1811,0,0,1,1112,011,,,2002
2027,0,0,1,1112,011,,,2002
2820,0,1,1,0631,006,,,2002
0810,0,1,1,1923,019,,,2002
0820,0,1,1,2223,022,,,2002
1506,0,0,1,1124,011,,,2002
1811,0,0,1,0825,008,,,2002
0530,0,1,1,0113,001,,,2002
0820,0,1,1,1821,018,,,2002
051,0,0,1,2535,025,,,2002
0460,0,1,1,2412,024,,,2002
1320,0,1,1,1133,011,,,2002
0810,0,1,1,1212,012,,,2002
2825,0,1,1,1324,012,,,2002
5001,0,1,1,0133,001,,,2002
2820,0,1,1,1323,012,,,2002
1811,0,0,1,1821,018,,,2002
1811,0,0,1,0421,004,,,2002
1210,0,0,1,0123,001,,,2002
0820,0,1,1,1212,012,,,2002
0560,0,1,1,0322,003,20,69,2002
0820,0,1,1,2032,020,47,3,2002
5002,0,1,1,1323,012,,,2002
0910,0,0,1,1411,014,,,2002
0810,0,1,1,1212,012,,,2002
1350,0,0,1,1913,019,,,2002
0820,0,0,1,1812,018,,,2002
1350,0,0,1,0533,005,,,2002
2027,0,0,1,2431,024,,,2002
0460,0,1,1,1031,010,,,2002
0560,0,1,1,0632,006,,,2002
2830,0,1,1,1823,018,,,2002
0320,0,1,1,1111,011,,,2002
143,0,0,1,2112,002,,,2002
1121,0,1,1,1834,018,,,2002
0810,0,1,1,0223,002,,,2002
0560,0,1,1,0715,007,,,2002
0820,0,1,1,1824,018,,,2002
0610,0,1,1,1923,019,,,2002
0910,0,0,1,1822,018,,,2002
0820,0,1,1,1924,019,,,2002
0910,0,1,1,1814,018,43,7,2002
1210,0,0,1,2432,024,,,2002
1110,0,0,1,1832,018,,,2002
0930,0,1,1,1022,010,,,2002
0820,0,1,1,1433,014,,,2002
0820,0,1,1,1532,015,28,25,2002
0460,0,0,1,1014,010,,,2002
0810,0,1,1,0714,007,,,2002
0910,0,1,1,1413,014,,,2002
5001,0,1,0,0734,007,17,67,2002
0810,0,1,1,1831,018,,,2002
0810,0,1,1,1822,018,,,2002
0850,0,1,1,2512,025,,,2002
0460,0,1,0,1711,017,,,2002
1320,0,1,1,1833,018,,,2002
0560,0,1,1,0523,005,,,2002
0820,0,1,1,1913,019,,,2002
0920,0,1,1,0532,005,,,2002
0430,0,0,1,1833,018,,,2002
1350,0,0,1,0312,003,,,2002
1506,0,0,1,1332,012,,,2002
1220,0,0,1,0321,003,,,2002
0454,0,0,1,2511,025,,,2002
0560,0,1,0,0732,007,,,2002
051,0,1,1,1414,014,,,2002
1811,0,0,1,1532,015,28,25,2002
1811,0,0,1,0333,003,,,2002
1811,0,0,1,2033,020,,,2002
1506,0,0,1,1432,014,,,2002
1811,0,0,1,1533,015,,,2002
0910,0,1,1,0132,001,2,32,2002
5002,0,0,1,1821,018,,,2002
0460,0,1,0,2313,019,,,2002
2017,0,0,1,1523,015,,,2002
1811,0,0,1,1032,010,,,2002
0530,0,0,1,1524,015,,,2002
1320,0,0,1,0312,003,,,2002
0820,0,0,1,1232,012,,,2002
031,0,1,1,0434,004,,,2002
0560,0,1,1,0421,004,,,2002
1330,0,0,1,0533,005,,,2002
041,0,1,1,2232,022,,,2002
0560,0,1,0,0531,005,,,2002
1320,0,1,1,1021,010,,,2002
2230,0,0,1,2011,020,,,2002
0910,0,1,1,2424,024,,,2002
143,0,0,1,2223,022,,,2002
0460,0,1,0,0711,007,,,2002
1513,0,0,1,0532,005,,,2002
0820,0,1,1,1823,018,,,2002
1811,0,0,1,0622,006,,,2002
0820,0,1,1,1434,014,,,2002
1811,0,0,1,2424,024,,,2002
0820,0,1,1,2032,020,,,2002
0910,0,1,1,2522,025,31,19,2002
2820,0,1,1,0233,002,,,2002
0820,0,0,1,0921,009,,,2002
2027,0,0,1,1122,011,,,2002
0520,0,1,1,1031,010,,,2002
0520,0,0,1,0533,005,,,2002
1506,0,0,1,1512,015,,,2002
1506,0,0,1,1131,011,,,2002
1513,0,0,1,1331,012,,,2002
1513,0,0,1,1331,012,,,2002
1811,0,0,1,0814,008,,,2002
2027,0,0,1,1211,012,,,2002
1811,0,0,1,1434,014,,,2002
0460,0,0,1,2024,020,,,2002
2027,0,0,1,0311,003,,,2002
0460,0,1,1,1212,012,,,2002
0820,0,1,1,1834,018,,,2002
2850,0,1,1,2012,020,,,2002
0430,0,1,1,1512,015,,,2002
1320,0,1,1,0423,004,,,2002
0810,0,1,1,1821,018,,,2002
0820,0,1,1,2033,020,,,2002
0820,0,1,1,1023,010,,,2002
0840,0,1,1,2512,025,,,2002
051,0,1,1,1222,012,,,2002
0320,0,0,0,2531,025,,,2002
1320,0,1,1,1323,012,,,2002
0460,0,1,0,2423,024,,,2002
0460,0,1,1,0732,007,,,2002
0460,0,1,1,1923,019,,,2002
0560,0,0,1,2422,024,,,2002
2027,0,0,1,0132,001,,,2002
1320,0,1,1,1013,010,,,2002
2092,0,0,1,2223,022,,,2002
1812,0,0,1,0933,009,,,2002
0460,0,1,1,2113,002,,,2002
0820,0,0,1,0922,009,,,2002
2027,0,0,1,2532,025,,,2002
0430,0,1,0,1112,011,,,2002
0460,0,1,0,1431,014,,,2002
1811,0,0,1,2223,022,,,2002
1506,0,0,1,2322,019,,,2002
2024,0,0,1,1133,011,,,2002
1812,0,0,1,1124,011,,,2002
0560,0,1,0,1612,016,,,2002
1320,0,1,1,1311,012,,,2002
0560,0,1,1,2511,025,,,2002
0320,0,1,1,1532,015,28,25,2002
051,0,1,0,2232,022,34,73,2002
143,0,0,1,0633,006,,,2002
0820,0,1,1,0634,006,,,2002
0430,0,0,1,1423,014,,,2002
0460,0,1,1,1021,010,,,2002
0910,0,1,1,2534,025,30,20,2002
0430,0,1,1,0431,004,,,2002
0910,0,1,1,2431,024,49,1,2002
041,0,1,1,1532,015,,,2002
0910,0,1,1,0924,009,11,60,2002
0560,0,1,1,1523,015,,,2002
1320,0,1,0,1033,010,,,2002
0460,0,1,0,1524,015,37,25,2002
1320,0,1,1,0735,007,,,2002
0910,0,1,1,0711,007,,,2002
0810,0,1,1,0711,007,,,2002
2820,0,1,1,0833,008,,,2002
1320,0,1,1,0414,004,,,2002
1320,0,1,1,0833,008,,,2002
0820,0,1,1,1933,019,,,2002
0460,0,0,0,2123,002,,,2002
0915,0,1,1,1033,010,,,2002
0560,0,0,1,1014,010,,,2002
0610,0,1,1,2113,002,,,2002
1811,0,0,1,1533,015,,,2002
0320,0,1,1,2132,002,4,39,2002
1811,0,0,1,1311,012,,,2002
2093,0,0,1,1523,015,,,2002
0820,0,1,1,0123,001,,,2002
0560,0,0,1,2512,025,,,2002
0810,0,1,1,1211,012,,,2002
2023,0,0,1,2113,002,,,2002
4387,0,1,0,0124,001,,,2002
1506,0,0,1,1125,011,,,2002
1506,0,0,1,1433,014,,,2002
0460,0,0,1,0234,002,,,2002
0810,0,1,1,1323,012,,,2002
0820,0,1,1,0111,001,,,2002
1811,0,0,1,2122,002,,,2002
0460,0,1,1,2322,019,,,2002
1525,0,0,1,1113,011,,,2002
0560,0,1,1,0312,003,,,2002
0910,0,1,1,2522,025,30,20,2002
0810,0,1,1,2413,024,,,2002
0910,0,1,1,2013,020,48,77,2002
1310,0,1,1,1621,016,,,2002
0820,0,1,1,1811,018,,,2002
0917,0,1,1,0124,001,,,2002
041,0,1,1,1532,015,,,2002
0841,0,1,1,2333,019,,,2001
0460,0,0,1,1222,012,,,2002
0820,0,1,1,1423,014,,,2002
0580,0,1,0,2432,024,,,2002
0810,0,1,1,1232,012,,,2002
0430,0,1,1,0915,009,,,2002
0820,0,1,1,2212,022,,,2002
0460,0,1,1,1421,014,,,2002
2024,0,0,1,2535,025,,,2002
0460,0,1,1,0513,005,,,2002
0820,0,0,1,2512,025,,,2002
0910,0,1,1,1122,011,,,2002
1506,0,0,1,1413,014,35,22,2002
2027,0,0,1,0313,003,,,2002
1110,0,0,1,1832,018,42,8,2001
0460,0,1,1,2033,020,,,2002
0810,0,1,1,1814,018,,,2002
0910,0,1,1,1322,012,,,2002
2024,0,0,1,1114,011,,,2002
0820,0,1,1,0531,005,,,2002
0560,0,0,1,1834,018,,,2002
0820,0,1,1,2234,022,,,2002
041,0,1,1,2022,020,,,2002
0560,0,0,1,2432,024,,,2002
2027,0,0,1,1112,011,,,2002
1360,0,1,1,1732,017,,,2002
2024,0,0,1,1022,010,,,2002
0820,0,0,1,0913,009,,,2002
2230,0,0,1,1032,010,,,2002
0430,0,1,1,0715,007,,,2002
0460,0,1,0,0324,003,,,2002
0915,0,1,1,1414,014,35,22,2002
0470,0,1,0,1132,011,,,2002
5002,0,0,1,0321,003,,,2002
1811,0,0,1,1533,015,,,2002
0915,0,1,1,1431,014,1,22,2002
2027,0,0,1,1021,010,,,2002
1811,0,0,1,2122,002,,,2002
1811,0,0,1,1311,012,,,2002
0460,0,0,1,0212,002,,,2002
1310,0,1,1,0234,002,,,2002
0810,0,1,1,2431,024,,,2002
1811,0,0,1,0123,001,,,2002
0820,0,1,1,2423,024,,,2002
2027,0,0,1,1532,015,,,2002
1310,0,1,1,1322,012,1,24,2002
0460,0,1,1,1411,014,,,2002
2022,0,0,1,1213,012,,,2002
0820,0,1,1,0924,009,,,2002
0553,0,0,1,1824,018,,,2002
0560,0,0,1,2122,002,,,2002
2027,0,0,1,1023,010,,,2002
2027,0,0,1,0132,001,,,2002
0460,0,0,0,1832,018,,,2002
2027,0,0,1,1135,011,,,2002
1811,0,0,1,2323,019,46,3,2002
0440,0,1,0,0413,004,,,2002
1320,0,1,1,2423,024,,,2002
0810,0,0,1,2423,024,,,2002
1220,0,1,1,2431,024,,,2002
0810,0,1,1,1512,015,,,2002
1200,0,0,1,0132,001,,,2002
0820,0,0,1,1822,018,,,2002
0560,0,1,1,2132,002,,,2002
0460,0,1,0,0312,003,,,2002
0810,0,1,1,2111,002,,,2002
031,0,1,1,2531,025,,,2002
0910,0,1,1,2433,024,40,77,2002
5001,0,1,1,2022,020,,,2002
0810,0,1,1,1211,012,,,2002
0320,0,1,1,1224,012,,,2002
1320,0,1,1,0934,009,,,2002
0460,0,1,1,0835,008,,,2002
0930,0,0,1,0411,004,,,2002
0910,0,0,1,0614,006,18,71,2002
0460,0,1,1,0311,003,,,2002
0910,0,1,1,0434,004,,,2002
0910,0,1,1,2535,025,,,2002
2024,0,0,1,1114,011,,,2002
0440,0,1,0,0323,003,,,2002
143,0,0,1,0314,003,,,2002
2820,0,1,1,0132,001,,,2002
0460,0,1,0,1331,012,,,2002
2027,0,0,1,1112,011,,,2002
0460,0,1,0,0312,003,,,2002
0810,0,1,1,0312,003,,,2002
0910,0,1,1,0124,001,42,32,2002
1310,0,0,1,2512,025,,,2002
1822,0,0,1,0522,005,,,2002
1310,0,1,1,0533,005,,,2002
2024,0,0,1,2535,025,,,2002
0530,0,1,1,1712,017,39,14,2002
0810,0,1,1,2112,002,,,2002
0340,0,0,1,1223,012,,,2002
0460,0,1,0,1322,012,,,2002
0420,0,0,1,0831,008,,,2002
5002,0,0,1,1933,019,,,2002
2027,0,0,1,1822,018,,,2002
0460,0,0,1,2033,020,,,2002
0810,0,1,1,2011,020,,,2002
1320,0,1,1,0413,004,,,2002
1811,0,0,1,0935,009,,,2002
0910,0,1,1,1412,014,35,22,2002
0810,0,1,1,1831,018,,,2002
0810,0,1,1,1831,018,,,2002
0810,0,1,1,0131,001,,,2002
0910,0,1,1,1024,010,,,2002
2027,0,0,1,1822,018,,,2002
2024,0,0,1,1211,012,,,2002
0325,0,1,1,1135,011,,,2002
1320,0,1,1,0634,006,,,2002
2230,0,0,1,2324,019,,,2002
031,0,1,1,0532,005,,,2002
2024,0,0,1,2535,025,,,2002
2017,0,0,1,1524,015,,,2002
0810,0,1,0,2122,002,,,2002
2050,0,0,1,1031,010,,,2002
1811,0,0,1,2122,002,,,2002
1811,0,0,1,2122,002,,,2002
0820,0,1,1,0122,001,,,2002
1320,0,1,1,1131,011,,,2002
1150,0,1,1,2213,022,,,2002
031,0,1,1,1211,012,,,2002
031,0,1,1,1231,012,,,2002
0560,0,1,0,2313,019,,,2002
0810,0,1,1,1224,012,,,2002
0320,0,1,1,2523,025,,,2002
0820,0,0,1,0913,009,,,2002
0460,0,1,1,1412,014,,,2002
1821,0,0,1,1112,011,,,2002
1812,0,0,1,1512,015,,,2002
1506,0,0,1,1433,014,,,2002
143,0,0,1,1122,011,,,2002
1310,0,1,0,0533,005,,,2002
0460,0,1,1,1135,011,,,2002
1310,0,1,1,2531,025,,,2002
0910,0,1,1,1823,018,,,2002
2825,0,1,1,2024,020,,,2002
5001,0,0,1,2324,019,44,6,2002
041,0,1,1,1832,018,42,8,2002
0520,0,1,0,1125,011,2,28,2002
0326,0,1,1,1111,011,28,25,2002
0312,0,1,1,1522,015,29,25,2002
0820,0,0,1,1824,018,42,8,2002
1130,0,0,1,1834,018,42,8,2002
1506,0,0,1,0931,009,16,61,2002
0820,0,0,1,2132,002,4,41,2002
0460,0,0,1,0112,001,42,32,2002
0810,0,1,1,1924,019,44,6,2002
1811,0,0,1,1532,015,28,25,2002
0460,0,1,1,0711,007,20,68,2002
1506,0,0,1,1125,011,2,27,2002
0820,0,1,1,2512,025,36,19,2002
1811,0,0,1,1512,015,29,25,2002
0810,0,1,1,2512,025,36,19,2002
1150,0,1,1,0124,001,42,32,2002
0560,0,1,1,0232,002,3,40,2002
1310,0,1,1,0923,009,11,60,2002
1020,0,1,1,2512,025,36,19,2002
2820,0,1,1,2124,002,4,41,2002
0810,0,0,1,1732,017,30,21,2002
0460,0,1,1,1923,019,44,6,2002
1811,0,0,1,1532,015,28,25,2002
1506,0,0,1,1533,015,24,25,2002
0910,0,1,1,1223,012,25,31,2002
1320,0,1,1,1724,017,33,16,2002
0820,0,1,1,0123,001,42,32,2002
0320,0,1,1,1413,014,35,22,2002
0810,0,1,1,0134,001,2,33,2002
1310,0,0,1,1822,018,32,8,2002
2017,0,0,1,1531,015,37,25,2002
2012,0,0,1,0825,008,15,66,2002
1811,0,0,1,1213,012,2,28,2002
0460,0,1,1,1034,010,25,31,2002
0420,0,1,1,0631,006,8,44,2002
1506,0,0,1,1111,011,37,25,2002
0820,0,1,1,0512,005,34,49,2002
2825,0,1,1,0524,005,34,53,2002
0520,0,1,1,1133,011,24,29,2002
1330,0,0,1,2512,025,36,19,2002
0460,0,1,0,2534,025,27,23,2002
0810,0,1,1,2333,019,43,7,2002
0910,0,1,1,0714,007,15,67,2002
0460,0,0,0,1614,016,41,76,2002
0560,0,1,1,2412,024,50,2,2002
041,0,1,1,0423,004,10,46,2002
1150,0,1,1,1831,018,42,8,2002
0460,0,1,0,2112,002,2,35,2002
0820,0,0,1,2534,025,27,23,2002
0820,0,1,1,1111,011,28,25,2002
0910,0,1,1,1731,017,38,15,2002
0910,0,1,1,0331,003,5,41,2002
0820,0,1,1,1813,018,43,7,2002
0910,0,1,1,1411,014,33,21,2002
1320,0,1,1,1231,012,,,2002
0320,0,0,1,0632,006,8,44,2002
0820,0,1,1,2512,025,36,19,2002
0312,0,1,1,0922,009,11,59,2002
0910,0,0,1,2431,024,49,1,2002
1812,0,0,1,0935,009,11,61,2002
0261,0,1,1,1123,011,28,27,2002
0460,0,1,1,0232,002,3,40,2002
0453,0,1,1,1424,014,1,24,2002
2027,0,0,1,0823,008,15,66,2002
2092,0,0,1,1511,015,29,25,2002
0820,0,1,1,1831,018,42,8,2002
0460,0,1,1,0222,002,3,38,2002
2820,0,1,1,1121,011,26,23,2002
0820,0,1,1,2313,019,46,3,2002
0910,0,1,1,0732,007,17,68,2002
0820,0,1,1,1134,011,28,27,2002
0910,0,1,1,1533,015,28,25,2002
0820,0,1,1,2413,024,40,2,2002
2092,0,0,1,1111,011,37,23,2002
0520,0,1,1,1711,017,39,12,2002
2027,0,0,1,1523,015,28,25,2002
2022,0,0,1,1233,012,25,31,2002
0320,0,1,1,1114,011,28,26,2002
2027,0,0,1,1533,015,28,25,2002
2024,0,0,1,1131,011,24,26,2002
0810,0,1,1,1233,012,25,31,2002
0460,0,1,1,1811,018,32,7,2002
1811,0,0,1,1134,011,28,29,2002
1811,0,0,1,2432,024,49,1,2002
0910,0,1,1,1433,014,32,24,2002
1506,0,0,1,1331,012,27,27,2002
0810,0,1,1,1323,012,27,24,2002
0313,0,1,1,0311,003,20,68,2002
0810,0,1,1,1211,012,2,28,2002
0810,0,1,1,2232,022,21,73,2002
1210,0,0,1,2431,024,49,1,2002
1812,0,0,1,2532,025,37,25,2002
2027,0,0,1,0431,004,7,51,2002
0460,0,1,0,1123,011,28,27,2002
1130,0,0,1,1831,018,42,8,2002
1811,0,0,1,2533,025,37,25,2002
0810,0,1,1,2333,019,44,6,2002
1506,0,0,1,2535,025,27,23,2002
0820,0,0,1,2311,019,46,3,2002
0810,0,1,1,1811,018,32,7,2002
2092,0,0,1,1211,012,2,28,2002
0820,0,1,1,1614,016,41,76,2002
0910,0,1,1,0912,009,12,58,2002
2027,0,0,1,1432,014,32,22,2002
2026,0,0,1,1711,017,50,13,2002
0910,0,1,1,0824,008,16,63,2002
2024,0,0,1,1111,011,28,25,2002
1811,0,0,1,0723,007,20,68,2002
0620,0,1,1,0913,009,12,30,2002
1310,0,1,1,1323,012,27,24,2002
0910,0,1,1,1631,016,36,17,2002
1330,0,0,1,2521,025,31,19,2002
2027,0,0,1,1211,012,2,28,2002
1506,0,0,1,1822,018,32,8,2002
031,0,1,1,0213,002,3,38,2002
2024,0,0,1,1131,011,24,26,2002
2024,0,0,1,0111,001,2,28,2002
1506,0,0,1,1131,011,24,25,2002
1811,0,0,1,1031,010,22,30,2002
2014,0,0,1,1112,011,27,23,2002
0820,0,1,1,1824,018,42,8,2002
1130,0,1,1,0531,005,9,49,2002
0820,0,1,1,1832,018,42,8,2002
0930,0,1,1,0233,002,20,40,2002
0460,0,1,1,0925,009,11,60,2002
0820,0,1,1,1834,018,42,8,2002
0440,0,0,1,0233,002,20,40,2002
0312,0,1,1,0233,002,20,40,2002
051,0,0,1,0726,007,15,67,2002
0820,0,1,1,2112,002,2,35,2002
1320,0,1,1,1212,012,42,28,2002
0810,0,1,1,1414,014,35,22,2002
0460,0,1,1,2331,019,44,6,2002
0440,0,1,1,1212,012,27,28,2002
0820,0,0,1,0913,009,12,59,2002
2820,0,1,1,2112,002,2,35,2002
0560,0,1,1,0934,009,3,61,2002
0820,0,1,1,2324,019,46,6,2002
1152,0,0,1,0924,009,11,60,2002
1320,0,1,1,0131,001,2,28,2002
0820,0,1,1,0111,001,42,28,2002
2022,0,0,1,0732,007,17,68,2002
0560,0,1,1,0333,003,5,43,2002
051,0,1,1,1513,015,29,25,2002
0810,0,0,1,0823,008,15,66,2002
2027,0,0,1,2535,025,30,23,2002
1811,0,0,1,2533,025,37,25,2002
0810,0,0,1,0124,001,42,32,2002
0560,0,1,1,1122,011,28,26,2002
0841,0,1,1,0711,007,20,68,2002
143,0,0,1,1014,010,24,29,2002
0430,0,1,1,0123,001,42,32,2002
3960,0,0,1,0232,002,3,40,2002
0820,0,1,1,2433,024,48,77,2002
1310,0,1,1,1631,016,36,17,2002
0810,0,1,1,1213,012,2,28,2002
0810,0,1,1,1212,012,27,28,2002
1525,0,0,1,1432,014,32,22,2002
0810,0,1,1,2232,022,34,73,2002
1320,0,1,1,2012,020,40,77,2002
2022,0,0,1,1014,010,24,29,2002
0820,0,1,1,1834,018,42,8,2002
0915,0,0,1,1211,012,2,28,2002
0810,0,1,1,1933,019,32,7,2002
0430,0,0,1,0734,007,17,67,2002
0430,0,1,1,0631,006,8,44,2002
0460,0,1,1,2432,024,40,1,2002
1506,0,0,1,1123,011,28,27,2002
2024,0,0,1,1113,011,28,26,2002
1320,0,1,1,0723,007,20,68,2002
0820,0,0,1,1834,018,42,8,2002
5000,0,1,1,0715,007,15,67,2002
1811,0,0,1,1523,015,28,25,2002
1310,0,1,1,0833,008,18,70,2002
1320,0,1,1,1823,018,27,8,2002
1506,0,0,1,1022,010,24,29,2002
0820,0,0,1,1513,015,29,25,2002
0820,0,1,1,1524,015,37,25,2002
0430,0,1,0,1135,011,28,29,2002
0820,0,1,1,1424,014,1,24,2002
0910,0,1,1,0931,009,20,61,2002
2092,0,0,1,1121,011,27,23,2002
0820,0,1,1,0914,009,12,61,2002
2092,0,0,1,1114,011,28,26,2002
2092,0,0,1,1122,011,27,23,2002
2111,0,0,1,1513,015,29,25,2002
031,0,1,1,1134,011,28,29,2002
0530,0,1,1,1133,011,24,29,2002
0460,0,1,1,0931,009,20,61,2002
0560,0,0,1,1021,010,24,29,2002
0460,0,1,1,1112,011,27,23,2002
5002,0,1,1,0214,002,3,38,2002
0910,0,1,1,1421,014,1,22,2002
0560,0,1,1,1923,019,47,6,2002
0820,0,1,1,1031,010,22,30,2002
