IUCR,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,Year
0810,0,1,1,0122,001,2,32,2017
1152,0,1,1,1034,010,25,31,2017
1152,0,1,1,1013,010,22,30,2017
1153,0,1,1,0934,009,20,61,2014
1154,0,1,1,0133,001,4,35,2009
1153,0,1,1,2234,022,34,75,2015
1153,0,1,0,2212,022,19,72,2015
1153,0,1,1,0931,009,16,61,2017
1320,0,1,1,0222,002,4,39,2017
2091,0,0,1,0813,008,23,56,2017
1153,0,1,1,0224,002,3,38,2015
1562,0,1,1,0831,008,17,66,2009
1120,0,1,1,1925,019,46,6,2017
1821,0,0,1,0311,003,20,40,2014
1330,0,1,1,1115,011,28,26,2014
1200,0,1,1,1122,011,28,26,2013
1153,0,1,1,0312,003,20,69,2017
1153,0,1,1,0321,003,5,42,2017
1754,0,1,1,2534,025,30,20,2008
0560,0,1,1,1212,012,1,24,2017
0890,0,1,1,2432,024,49,1,2017
1150,0,1,1,0314,003,20,42,2017
1563,0,1,1,1024,010,22,30,2017
1154,0,1,1,0513,005,9,49,2017
1153,0,1,1,0211,002,4,35,2017
1206,0,1,1,0421,004,7,43,2017
1152,0,1,1,1935,019,43,7,2018
1153,0,1,1,1023,010,28,29,2014
1154,0,1,1,1231,012,2,28,2017
1154,0,1,1,1931,019,32,5,2017
1153,0,1,1,0234,002,5,41,2014
1153,0,1,1,1122,011,27,23,2009
1153,0,1,1,0524,005,34,53,2015
0810,0,1,1,0932,009,16,61,2018
1154,0,1,1,0234,002,4,41,2010
1154,0,1,1,1434,014,32,22,2016
1153,0,1,1,0331,003,5,43,2015
0820,0,1,1,1434,014,32,24,2017
0820,0,1,1,1612,016,41,10,2013
0620,0,1,1,0112,001,42,32,2017
0560,0,1,1,0533,005,,,2002
0810,0,1,1,1624,016,45,15,2017
1120,0,1,1,0324,003,5,43,2017
1122,0,0,1,0623,006,17,44,2017
0890,0,1,1,0633,006,6,44,2017
1544,0,1,1,1123,011,27,23,2017
0810,0,1,1,0833,008,18,70,2017
2022,0,0,1,1014,010,24,29,2017
1153,0,1,1,0522,005,34,53,2007
1153,0,1,1,1925,019,44,6,2017
0560,0,1,1,1911,019,47,5,2017
2093,0,0,1,1134,011,24,29,2017
1153,0,1,1,0133,001,3,35,2009
0810,0,0,1,1024,010,22,30,2005
0820,0,1,1,2223,022,21,73,2017
1753,0,1,0,0822,008,14,63,2017
1153,0,1,1,1834,018,42,8,2011
0320,0,1,1,1012,010,24,29,2017
0890,0,1,1,1934,019,44,6,2017
1153,0,1,1,1131,011,24,29,2014
1153,0,1,1,0934,009,20,61,2015
143,0,1,1,0313,003,20,42,2012
2031,0,0,1,2413,024,50,2,2017
1153,0,1,1,1731,017,30,15,2016
2826,0,1,0,2411,024,50,2,2017
1812,0,0,1,1654,016,41,76,2017
1153,0,1,1,2525,025,30,20,2016
0910,0,1,1,0122,001,42,32,2017
0281,0,0,1,2525,025,30,20,2014
5001,0,1,1,1653,016,41,76,2017
1305,0,1,1,1224,012,27,28,2018
1153,0,1,1,2533,025,37,25,2017
0560,0,1,1,2422,024,49,1,2007
1152,0,1,1,1713,017,33,14,2016
1154,0,1,1,2232,022,9,73,2016
1153,0,1,1,0423,004,7,48,2017
0890,0,1,1,2423,024,49,1,2018
1310,0,1,1,1935,019,43,7,2017
1753,0,1,1,0822,008,23,62,2006
1155,0,1,1,1911,019,47,5,2003
1120,0,0,1,0412,004,8,45,2017
1154,0,1,1,2212,022,19,72,2011
1153,0,1,1,1733,017,35,21,2017
1153,0,1,1,0225,002,20,40,2015
2050,0,0,1,1024,010,22,30,2014
2017,0,0,1,1122,011,28,26,2014
0610,0,1,1,0421,004,7,43,2017
